# time_ps  msd_mean_A2  msd_SEM_A2  msd_STD_A2
0.000000 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.000000 1.57951593e+01 4.06347843e-02 1.14932526e-01
2.000000 3.02627992e+01 6.34161460e-02 1.79367948e-01
3.000000 4.42221898e+01 1.42705527e-01 4.03632183e-01
4.000000 5.81812453e+01 2.04120432e-01 5.77339768e-01
5.000000 7.21629826e+01 2.82189033e-01 7.98151116e-01
6.000000 8.60710659e+01 3.55995077e-01 1.00690613e+00
7.000000 9.99635418e+01 4.51405600e-01 1.27676784e+00
8.000000 1.13865020e+02 5.28273702e-01 1.49418367e+00
9.000000 1.27712732e+02 6.05268113e-01 1.71195675e+00
10.000000 1.41576838e+02 7.19489779e-01 2.03502441e+00
11.000000 1.55453259e+02 8.04872922e-01 2.27652441e+00
12.000000 1.69357447e+02 9.17394034e-01 2.59478217e+00
13.000000 1.83237115e+02 1.00586447e+00 2.84501434e+00
14.000000 1.97075037e+02 1.09717303e+00 3.10327396e+00
15.000000 2.10951877e+02 1.21629481e+00 3.44020124e+00
16.000000 2.24877677e+02 1.29003780e+00 3.64877792e+00
17.000000 2.38847731e+02 1.37886141e+00 3.90000900e+00
18.000000 2.52858221e+02 1.43518390e+00 4.05931308e+00
19.000000 2.66818663e+02 1.51399658e+00 4.28222899e+00
20.000000 2.80745898e+02 1.57684086e+00 4.45997945e+00
21.000000 2.94751163e+02 1.61128745e+00 4.55740912e+00
22.000000 3.08747225e+02 1.68210946e+00 4.75772402e+00
23.000000 3.22757771e+02 1.73629724e+00 4.91099022e+00
24.000000 3.36742555e+02 1.73335619e+00 4.90267167e+00
25.000000 3.50681955e+02 1.77273294e+00 5.01404592e+00
26.000000 3.64716421e+02 1.79363861e+00 5.07317609e+00
27.000000 3.78699340e+02 1.80706684e+00 5.11115685e+00
28.000000 3.92665258e+02 1.84056625e+00 5.20590751e+00
29.000000 4.06600636e+02 1.87604686e+00 5.30626184e+00
30.000000 4.20567389e+02 1.94760139e+00 5.50864860e+00
31.000000 4.34447499e+02 1.97875794e+00 5.59677264e+00
32.000000 4.48282660e+02 2.05498311e+00 5.81236997e+00
33.000000 4.62115810e+02 2.11876416e+00 5.99277001e+00
34.000000 4.75901770e+02 2.14998120e+00 6.08106514e+00
35.000000 4.89591739e+02 2.20447884e+00 6.23520776e+00
36.000000 5.03331320e+02 2.27724470e+00 6.44102067e+00
37.000000 5.17078877e+02 2.34800604e+00 6.64116397e+00
38.000000 5.30861227e+02 2.40299363e+00 6.79669237e+00
39.000000 5.44557905e+02 2.46225014e+00 6.96429509e+00
40.000000 5.58346678e+02 2.50445585e+00 7.08367086e+00
41.000000 5.72087980e+02 2.56969251e+00 7.26818800e+00
42.000000 5.85842303e+02 2.61295152e+00 7.39054297e+00
43.000000 5.99638177e+02 2.70010071e+00 7.63703808e+00
44.000000 6.13367930e+02 2.72949373e+00 7.72017410e+00
45.000000 6.27208673e+02 2.76430807e+00 7.81864393e+00
46.000000 6.40955868e+02 2.81668057e+00 7.96677573e+00
47.000000 6.54680784e+02 2.87132592e+00 8.12133613e+00
48.000000 6.68328990e+02 2.93767986e+00 8.30901340e+00
49.000000 6.81950584e+02 2.97072492e+00 8.40247895e+00
50.000000 6.95593179e+02 3.03331782e+00 8.57951839e+00
51.000000 7.09316712e+02 3.06626364e+00 8.67270326e+00
52.000000 7.23035274e+02 3.12191473e+00 8.83010831e+00
53.000000 7.36725106e+02 3.16068807e+00 8.93977587e+00
54.000000 7.50397051e+02 3.25615975e+00 9.20981057e+00
55.000000 7.64221957e+02 3.31132259e+00 9.36583463e+00
56.000000 7.77964492e+02 3.34319866e+00 9.45599376e+00
57.000000 7.91730436e+02 3.42475531e+00 9.68667080e+00
58.000000 8.05565749e+02 3.48948487e+00 9.86975367e+00
59.000000 8.19278989e+02 3.58165829e+00 1.01304595e+01
60.000000 8.33061804e+02 3.63793175e+00 1.02896248e+01
61.000000 8.46876694e+02 3.74354537e+00 1.05883453e+01
62.000000 8.60703820e+02 3.82429283e+00 1.08167336e+01
63.000000 8.74426143e+02 3.92055888e+00 1.10890151e+01
64.000000 8.88235013e+02 4.03617662e+00 1.14160314e+01
65.000000 9.02069343e+02 4.13273976e+00 1.16891532e+01
66.000000 9.15924051e+02 4.24878154e+00 1.20173690e+01
67.000000 9.29817221e+02 4.34330142e+00 1.22847116e+01
68.000000 9.43646855e+02 4.47697635e+00 1.26628014e+01
69.000000 9.57493107e+02 4.55842121e+00 1.28931622e+01
70.000000 9.71388162e+02 4.64327123e+00 1.31331543e+01
71.000000 9.85267140e+02 4.76072331e+00 1.34653589e+01
72.000000 9.99124629e+02 4.84442004e+00 1.37020890e+01
73.000000 1.01293706e+03 4.93822015e+00 1.39673958e+01
74.000000 1.02687356e+03 4.99624357e+00 1.41315108e+01
75.000000 1.04067174e+03 5.13249147e+00 1.45168781e+01
76.000000 1.05451685e+03 5.23396777e+00 1.48038964e+01
77.000000 1.06838125e+03 5.35582027e+00 1.51485473e+01
78.000000 1.08219648e+03 5.48372483e+00 1.55103161e+01
79.000000 1.09601254e+03 5.58285319e+00 1.57906934e+01
80.000000 1.10991153e+03 5.69127120e+00 1.60973458e+01
81.000000 1.12367716e+03 5.79636466e+00 1.63945950e+01
82.000000 1.13748057e+03 5.87773781e+00 1.66247531e+01
83.000000 1.15135445e+03 5.95969145e+00 1.68565530e+01
